question_order,question,age,topic
1,"Плачет, вскрикивает или кряхтит, когда проснулся",0,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
2,"Если, проснувшись, плачет, но успокаивается, когда берут на руки, качают, прикасаются",0,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
3,"Спокойно реагирует (не кричит), когда достают из кроватки",0,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
4,"Улыбается, шевелит ножками и ручками, когда взрослый подходит к кроватке",2,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
5,"Интересуется игрушками, тянет ручки к игрушкам, находящимся в кроватке",2,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
6,Поворачивает голову на голос взрослого,3,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
7,"Проснувшись, переворачивается на бок или на живот",3,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
8,"Проснувшись, зовет взрослого голосом",5,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
9,Просыпается без плача,6,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
10,"Смотрит на взрослого и протягивает к нему ручки, когда он собирается взять ребенка",7,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
11,"Проснувшись, садится ",8,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
11,"Проснувшись, садится",8,КАК РЕБЕНОК СПИТ ДНЕМ
12,"Проснувшись, встает",8,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
13,"Проснувшись, встает и ходит вдоль бортика кроватки",10,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
14,"Лепечет, когда проснулся",11,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
15,"Проснувшись, вылезает из кроватки самостоятельно",18,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
16,"Играет в комнате с игрушками до тех пор, пока взрослый не придет в комнату",22,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
17,"Просыпается, выходит из комнаты и исследует жилье",22,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
18,"Проснувшись, выходит из комнаты, чтобы найти взрослого",22,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
19,Самостоятельно садится на горшок после сна,24,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
20,"Выполняет просьбы взрослого, например, «снимай пижамку», «садись на стульчик»",24,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
21,"Удовлетворены ли Вы тем, как протекает рутина?",0,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
22,Хотите ли Вы изменить рутину в лучшую сторону?,0,КАК РЕБЕНОК ПРОСЫПАЕТСЯ
23,"Засыпает, если запеленать и положить в кроватку",0,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
24,Засыпает без расстройства с небольшой помощью,4,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
25,Спит в собственной кроватке,6,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
26,"Успокаивается при засыпании с помощью любимых предметов (одеяльце, игрушка, соска)",10,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
27,"Спит всю ночь, просыпаясь на кормление при наличии дневного сна (3-4 раза)",12,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
28,"Знает и показывает, что хочет во время подготовки ко сну",12,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
29,Использует слова или жесты во время подготовки ко сну,20,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
30,"Понимает слова, связанные с подготовкой ко сну",24,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
31,"Научился выполнять действия при подготовке ко сну, участвует в их выполнении",24,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
32,Остается в кровати всю ночь,30,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
33,"Быстро укладывается в кровать, даже если не сразу засыпает",30,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
34,Рассказывает о событиях в течение дня или о планах на следующих день,30,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
35,Слушается взрослых во время подготовки ко сну,30,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
36,"Удовлетворены ли Вы тем, как протекает рутина?",0,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
37,Хотите ли Вы изменить рутину в лучшую сторону?,0,"КАК РЕБЕНОК ГОТОВИТСЯ К НОЧНОМУ СНУ, СПИТ НОЧЬЮ"
38,"Начинает и заканчивает сосать грудь/бутылочку, не расстраиваясь",0,ПРИЕМ ПИЩИ
39,Глотает без затруднений молоко/смесь,0,ПРИЕМ ПИЩИ
40,Хорошо сосет из бутылочки или груди,1,ПРИЕМ ПИЩИ
41,Пьет достаточное количество молока/смеси из бутылочки или груди,1,ПРИЕМ ПИЩИ
42,"Приемы пищи достаточно частые (например, каждые 3-4 часа)",1,ПРИЕМ ПИЩИ
43,"Во время приема пищи сидит в высоком стуле, не сползая",6,ПРИЕМ ПИЩИ
44,Пытается трогать еду,6,ПРИЕМ ПИЩИ
45,Сам держит бутылочку,6,ПРИЕМ ПИЩИ
46,Начинает есть густую пищу,6,ПРИЕМ ПИЩИ
47,"Трогает, берет небольшие кусочки еды пальцами",7,ПРИЕМ ПИЩИ
48,"Ест кашу/молоко, удерживая слюни во рту",8,ПРИЕМ ПИЩИ
49,"Жует пищу, используя дёсны",8,ПРИЕМ ПИЩИ
50,Пьет сам из поильника,10,ПРИЕМ ПИЩИ
51,Следует режиму кормления,10,ПРИЕМ ПИЩИ
52,"Использует пинцетный захват, чтобы брать маленькие кусочки пищи",12,ПРИЕМ ПИЩИ
53,"Учится следовать / следует простым указаниям, сопровождаемым жестами (например, «возьми это», «выплюнь»)",12,ПРИЕМ ПИЩИ
54,"Использует слова или жесты, чтобы попросить «есть» и «пить»",12,ПРИЕМ ПИЩИ
55,"Пальцем указывает на еду, которую хочет",12,ПРИЕМ ПИЩИ
56,"Осмысленно говорит «нет» или мотает головой, когда чего-то не хочет",14,ПРИЕМ ПИЩИ
57,Использует ложку и вилку с переменным успехом,18,ПРИЕМ ПИЩИ
58,"Умеет делать отдельные глотки из чашки, набирая в рот нормальное количество воды (не захлебывается и не давится) ",18,ПРИЕМ ПИЩИ
58,"Умеет делать отдельные глотки из чашки, набирая в рот нормальное количество воды (не захлебывается и не давится)",18,ПРИЕМ ПИЩИ
59,"Остается за столом то время, которое нужно для приема пищи (уместное для его возраста)",18,ПРИЕМ ПИЩИ
60,"Использует слова или жесты, чтобы попросить конкретную пищу или питье",18,ПРИЕМ ПИЩИ
61,Просит «еще»,18,ПРИЕМ ПИЩИ
62,Сообщает «закончил»,18,ПРИЕМ ПИЩИ
63,Кладет в рот соответствующее количество еды за раз,18,ПРИЕМ ПИЩИ
64,Во время еды сидит на обычном стуле (детском),20,ПРИЕМ ПИЩИ
65,"Обращается за помощью любым подходящим способом (напр., когда нужно что-то открыть, нарезать)",20,ПРИЕМ ПИЩИ
66,Ест разнообразную еду,22,ПРИЕМ ПИЩИ
67,"Удаляет обертки и кожуру перед тем, как начать есть еду",22,ПРИЕМ ПИЩИ
68,Самостоятельно использует ложку или вилку,24,ПРИЕМ ПИЩИ
69,Ждет сервировки еды около 10 минут без суеты,24,ПРИЕМ ПИЩИ
70,Обращает внимание на людей вокруг себя во время еды,24,ПРИЕМ ПИЩИ
71,Выполняет 2-х составные указания (например «Положи ложку и дай чашку»),24,ПРИЕМ ПИЩИ
72,"Откусывает кусочки твердой пищи (яблоко, мясо, печенье)",28,ПРИЕМ ПИЩИ
73,Наливает жидкость в чашку из бутылки или графина,30,ПРИЕМ ПИЩИ
74,"Использует салфетку, чтобы сохранять рот и руки чистыми",30,ПРИЕМ ПИЩИ
75,"Может выбрать еду, когда предлагают выбор",30,ПРИЕМ ПИЩИ
76,Режет мягкую пищу безопасным ножом,34,ПРИЕМ ПИЩИ
77,Сервирует стол посудой под присмотром взрослого,34,ПРИЕМ ПИЩИ
78,"Ест и пробует разные виды пищи, не отказываясь",36,ПРИЕМ ПИЩИ
79,Участвует в приготовлении / подготовке к еде со взрослым,36,ПРИЕМ ПИЩИ
80,Умеет вилкой окунуть пищу в соус и донести в рот,36,ПРИЕМ ПИЩИ
81,"Удовлетворены ли Вы тем, как протекает рутина?",0,ПРИЕМ ПИЩИ
82,Хотите ли Вы изменить рутину в лучшую сторону?,0,ПРИЕМ ПИЩИ
83,Переходит к одеванию и раздеванию без плача,0,ОДЕВАНИЕ
84,Участвует в одевании без плача,0,ОДЕВАНИЕ
85,Рассматривает свои ручки во время одевания,2,ОДЕВАНИЕ
86,Поднимает ноги во время смены подгузника,6,ОДЕВАНИЕ
87,Носит одежду различных текстур,6,ОДЕВАНИЕ
88,"Помогает одеванию, протягивая руки и ноги в рукава и штанины",10,ОДЕВАНИЕ
89,Стягивает с себя носки и шапку,12,ОДЕВАНИЕ
90,"Указывает ручки и ножки на себе, когда его спрашивают",13,ОДЕВАНИЕ
91,Снимает тапочки,14,ОДЕВАНИЕ
92,Понимает название предметов одежды,18,ОДЕВАНИЕ
93,Узнает себя в зеркале,18,ОДЕВАНИЕ
94,"Показывает, что хочет надеть",14,ОДЕВАНИЕ
95,Расстегивает застежки (липучки),18,ОДЕВАНИЕ
96,"Помогает раздевать себя, вытаскивает руки и ноги из рукавов и штанин",18,ОДЕВАНИЕ
97,"Использует жесты или слова, называя части одежды",20,ОДЕВАНИЕ
98,Использует жесты или слова для 1-6 частей тела,20,ОДЕВАНИЕ
99,Активно помогает одевать себя,24,ОДЕВАНИЕ
100,"Расстегивает молнии, кнопки, пуговицы",30,ОДЕВАНИЕ
101,Надевает некоторую одежду самостоятельно,30,ОДЕВАНИЕ
102,Одевается и раздевается с помощью,34,ОДЕВАНИЕ
103,Надевает носки,36,ОДЕВАНИЕ
104,Надевает обувь,36,ОДЕВАНИЕ
105,"Удовлетворены ли Вы тем, как протекает рутина?",0,ОДЕВАНИЕ
106,Хотите ли Вы изменить рутину в лучшую сторону?,0,ОДЕВАНИЕ
107,Не плачет во время смены подгузника,0,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
108,"Во время смены подгузника обращает внимание на лицо того, кто меняет подгузник (если ребенок слепой, не отвечайте на этот вопрос)",2,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
109,Остаётся спокойным во время смены подгузника,4,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
110,Часто намеренно вокализирует во время смены подгузника,8,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
111,"Сообщает, когда нуждается в смене подгузника",12,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
112,"Понимает слова, связанные с туалетом",18,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
113,Сидит на горшке необходимое количество времени,18,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
114,Использует слова или жесты во время смены подгузника / туалета,18,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
115,Участвует в процессе мытья рук,18,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
116,"Если посадили на горшок, делает все «дела»",24,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
117,"Снимает штанишки, чтобы сходить в туалет",24,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
118,С напоминанием моет руки после туалета,24,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
119,Может не испачкать штанишки три часа (если уже частично имеет навык пользования туалетом),24,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
120,Надевает штанишки после использования туалета,26,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
121,"Когда ребенок говорит, что хочет в туалет, он действительно хочет в туалет (не ложная тревога)",28,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
122,Просит помочь с вытиранием после туалета,30,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
123,Время от времени остается сухим всю ночь,32,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
124,Полностью сам управляется с туалетом,36,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
125,"Сотрудничает с взрослым, когда он просит ребенка сходить в туалет",36,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
126,"Удовлетворены ли Вы тем, как протекает рутина?",0,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
127,Хотите ли Вы изменить рутину в лучшую ,0,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
127,Хотите ли Вы изменить рутину в лучшую,0,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
128,Принимает окончание игры с другими без расстройства,0,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
129,Следит взглядом за человеком ,2,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
129,Следит взглядом за человеком,2,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
130,"Оживляется, когда взрослый подходит к нему",2,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
131,Приглашает взрослого поиграть вокализациями или улыбкой,3,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
132,Смотрит на человека и вокализирует в ответ на свое имя (для слепых детей – только вокализирует),5,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
133,"Участвует в простых играх с взрослым или старшими детьми, например ку-ку",6,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
134,Играет с другими людьми без суеты и расстройства,6,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
135,"Подражает другим людям во время игры (например, звукам, простым движениям)",8,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
136,Смеется над разными удивительными ситуациями,8,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
137,"Демонстрирует понимание слов, обозначающих игры или игрушки",10,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
138,Говорит или лепечет по очереди со взрослым во время разговора,10,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
139,"Повторяет звуки или жесты, если над ними смеются",10,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
140,"Использует простые слова или жесты, чтобы попросить продолжения игры",10,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
141,"Ходит больше, чем ползает, чтобы приблизиться к другим людям во время игры",12,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
142,"Если приглашают поиграть, отзывается",12,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
143,Использует слова или жесты во время игры,12,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
144,"Дает понять, чего он хочет во время игры",14,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
