order,question,category_y,category_x
1,Питается от груди или из бутылки,F,
1,Питается от груди или из бутылки,SEL,
2,Стаскивает шапочку со своей головы,F,
2,Стаскивает шапочку со своей головы,SEL,
3,Берет пищу с ложки,F,
3,Берет пищу с ложки,SEL,
4,Играет в прятки (в «ку-ку»: «прячет» лицо за ладонями),F,
4,Играет в прятки (в «ку-ку»: «прячет» лицо за ладонями),SOC,
5,"Плачет, когда отбирают игрушку",F,
5,"Плачет, когда отбирают игрушку",SOC,
6,С удовольствием открывает и закрывает крышку коробочки,F,
6,С удовольствием открывает и закрывает крышку коробочки,COG,
7,"Подражает покашливанию, мычанию, цоканью, другим звукам",F,
7,"Подражает покашливанию, мычанию, цоканью, другим звукам",LAN,
8,Берет маленькие предметы двумя пальцами,F,
8,Берет маленькие предметы двумя пальцами,MOT,
9,"Может самостоятельно сесть, даже если до этого лежал (а) на животе",F,
9,"Может самостоятельно сесть, даже если до этого лежал(а) на животе",MOT,
10,"Подпрыгивает, если поддерживать подмышки",F,
10,"Подпрыгивает, если поддерживать подмышки",MOT,
11,"Может самостоятельно сесть, если перед этим стоял (а)",F,
11,"Может самостоятельно сесть, если перед этим стоял(а)",MOT,
12,"Помогает одеванию, просовывая руки в рукава",F,
12,"Помогает одеванию, просовывая руки в рукава",SEL,
13,Смотрит на людей и успокаивается (затихает),F,
13,Смотрит на людей и успокаивается (затихает),SOC,
14,Тянется к знакомому человеку,F,
14,Тянется к знакомому человеку,SOC,
15, Может один (одна) играть с игрушками в течение 15 минут,F,
15,Может один(одна) играть с игрушками в течение 15 минут,SOC,
16,"Трясет погремушкой, если ее вложить в руку",F,
16,"Трясет погремушкой, если ее вложить в руку",COG,
17,Черкает карандашом по собственной инициативе,F,
17,Черкает карандашом по собственной инициативе,COG,
18,"Преодолевает препятствия, чтобы достать нужную вещь",F,
18,"Преодолевает препятствия, чтобы достать нужную вещь",COG,
19,Произносит звуки «ммм» или «ссс»,F,
19,Произносит звуки «ммм» или «ссс»,LAN,
20,Машет ручкой «пока-пока» в подходящий момент,F,
20,Машет ручкой «пока-пока» в подходящий момент,SOC,
20,Машет ручкой «пока-пока» в подходящий момент,SOC,
21,"Держит свою бутылочку, снова берет ее, если выпустит из рук",F,
21,"Держит свою бутылочку, снова берет ее, если выпустит из рук",SEL,
22,"Может начать ползти, если перед этим сидел (а)",F,
22,"Может начать ползти, если перед этим сидел(а)",MOT,
23,"Обхватывает бутылочку руками, когда сосет из нее",F,
23,"Обхватывает бутылочку руками, когда сосет из нее",SEL,
24,Пытается привлечь внимание взрослого лепетом и улыбками,F,
24,Пытается привлечь внимание взрослого лепетом и улыбками,SOC,
25,"Дает игрушку, если вы протянете за ней руку",F,
25,"Дает игрушку, если вы протянете за ней руку",SOC,
26,"Избегает предметов, которые могут причинить боль",F,
26,"Избегает предметов, которые могут причинить боль",COG,
27,Берет предметы и рассматривает их,F,
27,Берет предметы и рассматривает их,COG,
28,«Разговаривает» на своем языке («гулит»),F,
28,«Разговаривает» на своем языке («гулит»),LAN,
29,Четко произносит одно слово,F,
29,Четко произносит одно слово,LAN,
30,"Хлопает в ладоши, когда попросят",F,
30,"Хлопает в ладоши, когда попросят",SOC,
30,"Хлопает в ладоши, когда попросят",SOC,
31,"Сжимает руку, когда на ладошку положат игрушку",F,
31,"Сжимает руку, когда на ладошку положат игрушку",MOT,
32,"Пытается заполучить игрушку, находящуюся вне пределов досягаемости",F,
32,"Пытается заполучить игрушку, находящуюся вне пределов досягаемости",MOT,
33,"Проглатывает жидкость, не поперхнувшись",F,
33,"Проглатывает жидкость, не поперхнувшись",SEL,
34,"Предпочитает, есть самостоятельно",F,
34,Предпочитает есть самостоятельно,SEL,
35,"Пытается привлечь внимание взрослого тем, что тянется к нему и протягивает руки",F,
35,"Пытается привлечь внимание взрослого тем, что тянется к нему и протягивает руки",SOC,
36,"Протягивает взрослому игрушку, но не отдает ее",F,
36,"Протягивает взрослому игрушку, но не отдает ее",SOC,
37,"Ищет игрушку, которую спрятали на его (ее) глазах",F,
37,"Ищет игрушку, которую спрятали на его(ее) глазах",COG,
38,"Интересуется фотографиями (рассматривает, когда показывают)",F,
38,"Интересуется фотографиями (рассматривает, когда показывают)",COG,
39,Подражает знакомым действиям матери,F,
39,Подражает знакомым действиям матери,SOC,
39,Подражает знакомым действиям матери,SOC,
40,Пользуется голосом для выражения эмоций (не только плачет),F,
40,Пользуется голосом для выражения эмоций (не только плачет),LAN,
41,Имитирует «ма-ма» или «да-да»,F,
41,Имитирует «ма-ма» или «да-да»,LAN,
42,"Раскрывает кулак, если к нему прикасаются игрушкой",F,
42,"Раскрывает кулак, если к нему прикасаются игрушкой",MOT,
43,"Пальцем тычет в предметы, или толкает их, или трет, или катает",F,
43,"Пальцем тычет в предметы, или толкает их, или трет, или катает",MOT,
44,"Становится ногами на пол, если держать в стоячем положении",F,
44,"Становится ногами на пол, если держать в стоячем положении",MOT,
45,"Приподнимает грудь с кровати, когда лежит на животе",F,
45,"Приподнимает грудь с кровати, когда лежит на животе",MOT,
46,Тянет предметы в рот,F,
46,Тянет предметы в рот,COG,
47,Глотает мягкую (протертую) пишу,F,
47,Глотает мягкую (протертую) пищу,SEL,
48,"Приходит в возбуждение (радуется), когда взрослый берет на руки",F,
48,"Приходит в возбуждение (радуется), когда взрослый берет на руки",SOC,
49,"Любит ронять игрушки, чтобы взрослый их подбирал",F,
49,"Любит ронять игрушки, чтобы взрослый их подбирал",SOC,
50,Реагирует на звук колокольчика или погремушки,F,
50,Реагирует на звук колокольчика или погремушки,COG,
51,"Сразу же замечает предмет, помещенный перед ним (ней)",F,
51,"Сразу же замечает предмет, помещенный перед ним(ней)",COG,
52,Играет с куклами,F,
52,Играет с куклами,COG,
53,"Хнычет или плачет, когда ругают",F,
53,"Хнычет или плачет, когда ругают",SOC,
53,"Хнычет или плачет, когда ругают",SOC,
54,Называет маму «ма-ма» (осмысленно),F,
54,Называет маму «ма-ма» (осмысленно),LAN,
55,Пытается схватить расположенные рядом маленькие предметы,F,
55,Пытается схватить расположенные рядом маленькие предметы,MOT,
56,Рвет бумагу двумя руками,F,
56,Рвет бумагу двумя руками,MOT,
57,"Стоит, если поддерживать подмышки",F,
57,"Стоит, если поддерживать подмышки",MOT,
58,Делает движения ползания,F,
58,Делает движения ползания,MOT,
59,Может самостоятельно поднести бутылочку ко рту,F,
59,Может самостоятельно поднести бутылочку ко рту,SEL,
60,Выказывает ревность,F,
60,Выказывает ревность,SOC,
61,Двигается под музыку,F,
61,Двигается под музыку,SOC,
62,Улыбается при звуке погремушки или колокольчика,F,
62,Улыбается при звуке погремушки или колокольчика,COG,
63,Роняет и поднимает игрушки,F,
63,Роняет и поднимает игрушки,COG,
64,Катает мячик с взрослым,F,
64,Катает мячик со взрослым,SOC,
65,"Уберет тряпочку, если ею закрыть его (ее) лицо",F,
65,"Уберет тряпочку, если ею закрыть его(ее) лицо",COG,
66,"Реагирует, услышав свое имя",F,
66,"Реагирует, услышав свое имя",LAN,
67,"Произносит, по крайней мере, два разных звука",F,
67,Произносит по крайней мере два разных звука,LAN,
68,Держит игрушку,F,
68,Держит игрушку,MOT,
69,"Устойчиво держит голову, когда тянут за руки, чтобы принял (а) сидячее положение",F,
69,"Устойчиво держит голову, когда тянут за руки, чтобы принял(а) сидячее положение",MOT,
70,Открывает рот при виде бутылки или груди,F,
70,Открывает рот при виде бутылки или груди,SEL,
71,"Ест новую пищу без капризов, когда ее предлагают в первый раз",F,
71,"Ест новую пищу без капризов, когда ее предлагают в первый раз",SEL,
72,Понимает «пока-пока» («до свидания»),F,
72,Понимает «пока-пока» («до свидания»),LAN,
73,"Похоже, что понимает смысл слов «вверх» и «вниз»",F,
73,"Похоже, что понимает смысл слов «вверх» и «вниз»",COG,
74,Следит глазами за движением рук,F,
74,Следит глазами за движением рук,COG,
75,"Изменяет положение тела, чтобы лучше видеть что-то",F,
75,"Изменяет положение тела, чтобы лучше видеть что-то",COG,
76,"Улыбается, услышав свое имя",F,
76,"Улыбается, услышав свое имя",LAN,
77,Отчетливо произносит три или четыре слова,F,
77,Отчетливо произносит три или четыре слова,LAN,
78,"Указывает на предмет, который хочет",F,
78,"Указывает на предмет, который хочет",LAN,
79,Опускает разные предметы в коробки и бутылки,F,
79,Опускает разные предметы в коробки и бутылки,COG,
80,"Свободно вертит головой, когда сидит или когда держат в вертикальном положении",F,
80,"Свободно вертит головой, когда сидит или когда держат в вертикальном положении",MOT,
81,Сидит на корточках,F,
81,Сидит на корточках,MOT,
82,Перелезает через препятствия,F,
82,Перелезает через препятствия,MOT,
83,"Ест размятую твердую обычную пищу, когда ею кормят",F,
83,"Ест размятую твердую обычную пищу, когда ею кормят",SEL,
84,Издает звуки во время кормления и купания,F,
84,Издает звуки во время кормления и купания,LAN,
85,Любит купаться в ванне и брызгаться,F,
85,Любит купаться в ванне и брызгаться,SOC,
86,"Сопротивляется, когда взрослый или ребенок пытается отобрать игрушку",F,
86,"Сопротивляется, когда взрослый или ребенок пытается отобрать игрушку",SOC,
87,"Поднимает подбородок, лежа на животе",F,
87,"Поднимает подбородок, лежа на животе",MOT,
88,Интересуется своим отражением в зеркале,F,
88,Интересуется своим отражением в зеркале,COG,
89,"Заглядывает за угол, когда что-нибудь потерялось",F,
89,"Заглядывает за угол, когда что-нибудь потерялось",COG,
90,"Останавливается, когда вы говорите «нельзя»",F,
90,"Останавливается, когда вы говорите «нельзя»",SOC,
91,"Произносит звуки, похожие на «ма-ма», «ба-ба», «ла-ла»",F,
91,"Произносит звуки, похожие на «ма-ма», «ба-ба», «ла-ла»",LAN,
92,Пытается повторять слова,F,
92,Пытается повторять слова,LAN,
93,"Реагирует на «иди ко мне», поднимая ручки",F,
93,"Реагирует на «иди ко мне», поднимая ручки",LAN,
94,"Тянется за игрушкой, которую близко поднесли",F,
94,"Тянется за игрушкой, которую близко поднесли",MOT,
95,Вытаскивает игрушки из коробки,F,
95,Вытаскивает игрушки из коробки,COG,
96,"Поднимает голову, когда лежит на спине",F,
96,"Поднимает голову, когда лежит на спине",MOT,
97,"Подтягивается и встает, держась за край кроватки",F,
97,"Подтягивается и встает, держась за край кроватки",MOT,
98,Выдвигает ящики шкафчика,F,
98,Выдвигает ящики шкафчика,SEL,
99,Жует пищу,F,
99,Жует пищу,SEL,
100,Ест обычную твердую пищу,F,
100,Ест обычную твердую пищу,SEL,
101,"Лепечет, когда с ним (ней) заговаривают",F,
101,"Лепечет, когда с ним(ней) заговаривают",SOC,
102,"Радуется, когда его (ее) подкидывают, возятся с ним (ней)",F,
102,"Радуется, когда его(ее) подкидывают, возятся с ним(ней)",SOC,
103,"Поворачивается, услышав свое имя",F,
103,"Поворачивается, услышав свое имя",SOC,
103,"Поворачивается, услышав свое имя",SOC,
104,Намеренно не слушается,F,
104,Намеренно не слушается,SOC,
105,Улыбается отражению в зеркале,F,
105,Улыбается отражению в зеркале,COG,
106,"Передвигается, чтобы достать предмет, до которого не дотянуться",F,
106,"Передвигается, чтобы достать предмет, до которого не дотянуться",COG,
107,"Останавливается, когда вы кричите «нельзя»",F,
107,"Останавливается, когда вы кричите «нельзя»",LAN,
108,Быстро поворачивает голову на знакомый голос,F,
108,Быстро поворачивает голову на знакомый голос,LAN,
109,Берет предметы одной рукой,F,
109,Берет предметы одной рукой,MOT,
110,Одновременно играет с двумя или более предметами,F,
110,Одновременно играет с двумя или более предметами,MOT,
111,Сидит у вас на коленях,F,
111,Сидит у вас на коленях,MOT,
112,Быстро ползает на четвереньках,F,
112,Быстро ползает на четвереньках,MOT,
113,Узнает бутылку и тянется за нею,F,
113,Узнает бутылку и тянется за нею,SEL,
114,"Держит, кусает и жует пирожок или печенье",F,
114,"Держит, кусает и жует пирожок или печенье",SEL,
115,"Одним людям улыбается, а другим - нет",F,
115,"Одним людям улыбается, а другим - нет",SOC,
116,Имитирует игру в «ладушки-ладушки»,F,
116,Имитирует игру в «ладушки-ладушки»,COG,
117,"Открывает рот, когда приближается ложка",F,
117,"Открывает рот, когда приближается ложка",SEL,
118,"Издает звуки, когда с ним (ней) говорят",F,
118,"Издает звуки, когда с ним(ней) говорят",LAN,
119,"Останавливается, услышав свое имя",F,
119,"Останавливается, услышав свое имя",LAN,
120,Держит предмет двумя руками,F,
120,Держит предмет двумя руками,MOT,
121,Помогает переворачивать страницы в книжке,F,
121,Помогает переворачивать страницы в книжке,MOT,
122,"Стоит, держась за мебель",F,
122,"Стоит, держась за мебель",MOT,
123,Переворачивается со спины на бок,F,
123,Переворачивается со спины на бок,MOT,
124,Пытается открыть дверь,F,
124,Пытается открыть дверь,MOT,
125,Кладет кусочки пищи в рот,F,
125,Кладет кусочки пищи в рот,SEL,
126,Обнимает маму и показывает свою любовь к ней,F,
126,Обнимает маму и показывает свою любовь к ней,SOC,
127,Находит частично спрятанные предметы,F,
127,Находит частично спрятанные предметы,COG,
128,Узнает материнский голос,F,
128,Узнает материнский голос,COG,
129,"Тянется за всем, что попадает в поле зрения",F,
129,"Тянется за всем, что попадает в поле зрения",COG,
130,"Похоже, что понимает «пока-пока» («до свидания»)",F,
130,"Похоже, что понимает «пока-пока» («до свидания»)",LAN,
131,"Издает звуки то громкие, то тихие",F,
131,"Издает звуки то громкие, то тихие",LAN,
132,"Переворачивает страницы книжки, по две-три сразу",F,
132,"Переворачивает страницы книжки, по две-три сразу",MOT,
133,"Сидит с некоторой поддержкой, при этом держит голову",F,
133,"Сидит с некоторой поддержкой, при этом держит голову",MOT,
134,"Стоит, если держат за обе руки",F,
134,"Стоит, если держат за обе руки",MOT,
135,Легко перекатывается со спины на живот,F,
135,Легко перекатывается со спины на живот,MOT,
136,Может осторожно положить игрушку,F,
136,Может осторожно положить игрушку,MOT,
137,Улыбается,F,
137,Улыбается,SOC,
138,Играет один с игрушками,F,
138,Играет один с игрушками,SOC,
139,"Огорчается, если оставляют одного (одну) в комнате",F,
139,"Огорчается, если оставляют одного(одну) в комнате",SOC,
140,"Громко хохочет, когда щекочут",F,
140,"Громко хохочет, когда щекочут",SOC,
141,"Обнимает отца и показывает, что любит его",F,
141,"Обнимает отца и показывает, что любит его",SOC,
142,Внимательно смотрит на предметы и успокаивается (затихает),F,
142,Внимательно смотрит на предметы и успокаивается (затихает),COG,
143,Реагирует на игру в прятки («ку-ку»),F,
143,Реагирует на игру в прятки («ку-ку»),SOC,
144,"Имитирует действия взрослых через большой интервал времени после того, как они произошли",F,
144,"Имитирует действия взрослых через большой интервал времени после того, как они произошли",COG,
145,"Повторяет слова, когда попросят",F,
145,"Повторяет слова, когда попросят",LAN,
146,Трясет погремушкой,F,
146,Трясет погремушкой,MOT,
147,"Пытается приподняться и сесть, когда держат за руку",F,
147,"Пытается приподняться и сесть, когда держат за руку",MOT,
148,Перекатывается с живота на спину,F,
148,Перекатывается с живота на спину,MOT,
149,"Одной рукой держит игрушку, а другой с ней играет",F,
149,"Одной рукой держит игрушку, а другой с ней играет",MOT,
150,Пытается взять пищу ложкой,F,
150,Пытается взять пищу ложкой,SEL,
151,Узнает наиболее знакомых взрослых,F,
151,Узнает наиболее знакомых взрослых,SOC,
152,"Машет ручкой «пока-пока», когда скажут",F,
152,"Машет ручкой «пока-пока», когда скажут",SOC,
153,Обнимает куклу или медведя и показывает любовь к ним,F,
153,Обнимает куклу или медведя и показывает любовь к ним,SOC,
154,"Бросает игрушки и смотрит, как они падают",F,
154,"Бросает игрушки и смотрит, как они падают",COG,
155,"Протягивает игрушку матери, если она попросит",F,
155,"Протягивает игрушку матери, если она попросит",LAN,
156,Может копировать звуки,F,
156,Может копировать звуки,LAN,
157,"Сидя, катает мячик",F,
157,"Сидя, катает мячик",MOT,
158,Самостоятельно стоит,F,
158," Может переворачиваться (со спины на бок, с бока на живот и т.п.), когда оставляют лежать на полу",F,
158,Самостоятельно стоит,MOT,
159,"Может переворачиваться (со спины на бок, с бока на живот и т.п.), когда оставляют лежать на полу",MOT,
160,Трогает свои ноги руками,F,
160,Трогает свои ноги руками,MOT,
161,Берет ложку за ручку,F,
161,Берет ложку за ручку,SEL,
162,"Проглатывает пищу, не поперхнувшись, не подавившись, не закашляв",F,
162,"Проглатывает пищу, не поперхнувшись, не подавившись, не закашляв",SEL,
163,Машет ручкой «пока-пока» в нужное время и без просьбы взрослого,F,
163,Машет ручкой «пока-пока» в нужное время и без просьбы взрослого,SOC,
164,"Ощупывает лицо, волосы, бусы или одежду взрослого",F,
164,"Ощупывает лицо, волосы, бусы или одежду взрослого",SOC,
165,"Целует взрослого, когда попросят",F,
165,"Целует взрослого, когда попросят",SOC,
166,Копирует простые действия,F,
166,Копирует простые действия,SOC,
167,"Сидит, опираясь на руки",F,
167,"Сидит, опираясь на руки",MOT,
168,"Выполняет простые указания, например, «иди ко мне»",F,
168,"Выполняет простые указания, например, «иди ко мне»",SOC,
168,"Выполняет простые указания, например, «иди ко мне»",SOC,
169,Многократно повторяет одни и те же звуки,F,
169,Многократно повторяет одни и те же звуки,LAN,
170,Хохочет,F,
170,Хохочет,SOC,
171,Берет одной рукой две маленькие игрушки,F,
171,Берет одной рукой две маленькие игрушки,MOT,
172,Сидит самостоятельно в течение нескольких секунд,F,
172,Сидит самостоятельно в течение нескольких секунд,MOT,
173,Устойчиво стоит самостоятельно,F,
173,Устойчиво стоит самостоятельно,MOT,
174,"Забирается на стулья или мебель для того, чтобы достать нужную вещь",F,
174,"Забирается на стулья или мебель для того, чтобы достать нужную вещь",MOT,
175,Наклоняется и подбирает игрушку с пола,F,
175,Наклоняется и подбирает игрушку с пола,MOT,
176,Держит ложку и доносит пищу до рта,F,
176,Держит ложку и доносит пищу до рта,SEL,
177,Обсасывает и мусолит во рту печенье и сухари,F,
177,Обсасывает и мусолит во рту печенье и сухари,SEL,
178,Различно реагирует на посторонних людей и на знакомых,F,
178,Различно реагирует на посторонних людей и на знакомых,SOC,
179,Улыбается своему отражению в зеркале,F,
179,Улыбается своему отражению в зеркале,SOC,
180,Подражает другому ребенку,F,
180,Подражает другому ребенку,SOC,
181,Вздрагивает от неожиданных голосов или шумов,F,
181,Вздрагивает от неожиданных голосов или шумов,COG,
182,"Издает звуки, когда взрослый улыбается или щекочет",F,
182,"Издает звуки, когда взрослый улыбается или щекочет",LAN,
183,"Ходит, держась за мебель",F,
183,"Ходит, держась за мебель",MOT,
184,Ползет вверх по лестнице,F,
184,Ползет вверх по лестнице,MOT,
185,"Улыбается, если взрослый делает смешную гримасу",F,
185,"Улыбается, если взрослый делает смешную гримасу",SOC,
186,Играет своими руками,F,
186,Играет своими руками,COG,
187,Улыбается при виде любимой игрушки,F,
187,Улыбается при виде любимой игрушки,COG,
188,Играет одновременно с двумя игрушками,F,
188,Играет одновременно с двумя игрушками,COG,
189,Качает головой в знак отрицания,F,
189,Качает головой в знак отрицания,LAN,
190,Подбирает маленькие предметы размером с горошину,F,
190,Подбирает маленькие предметы размером с горошину,MOT,
191,Бросает мяч,F,
191,Бросает мяч,MOT,
192,Сидит самостоятельно в течение долгого времени,F,
192,Сидит самостоятельно в течение долгого времени,MOT,
193,"Ходит, если держат за обе руки для равновесия",F,
193,"Ходит, если держат за обе руки для равновесия",MOT,
194,Держит чашку и пьет из нее,F,
194,Держит чашку и пьет из нее,SEL,
195,Стаскивает носки,F,
195,Стаскивает носки,SEL,
196,"Пьет из чашки, которую держит взрослый",F,
196,"Пьет из чашки, которую держит взрослый",SEL,
197,Держит в течение секунды вложенную в руку ложку,F,
197,Держит в течение секунды вложенную в руку ложку,SEL,
198,"Смеется, если взрослый делает смешную гримасу",F,
198,"Смеется, если взрослый делает смешную гримасу",SOC,
199,Тянется к отражению в зеркале и похлопывает его,F,
199,Тянется к отражению в зеркале и похлопывает его,SOC,
200,Играет своими ногами,F,
200,Играет своими ногами,COG,
201,"Тянется за игрушками, которые расположены довольно близко, но нельзя их прямо схватить",F,
201,"Тянется за игрушками, которые расположены довольно близко, но нельзя их прямо схватить",COG,
202,"Бросает одну из двух игрушек, которые держит, для того, чтобы взять третью",F,
202,"Бросает одну из двух игрушек, которые держит, для того, чтобы взять третью",COG,
203,Улыбается при виде новой игрушки,F,
203,Улыбается при виде новой игрушки,COG,
204,С удовольствием смотрит в окно,F,
204,С удовольствием смотрит в окно,COG,
205,"Лепечет, когда находится один (одна) в кроватке",F,
205,"Лепечет, когда находится один(одна) в кроватке",LAN,
206,Распознает названия знакомых предметов,F,
206,Распознает названия знакомых предметов,LAN,
207,Перекладывает предметы из одной руки в другую,F,
207,Перекладывает предметы из одной руки в другую,MOT,
208,"Стоя, кидает мяч",F,
208,"Стоя, кидает мяч",MOT,
209,"Ходит, когда держат за одну руку",F,
209,"Ходит, когда держат за одну руку",MOT,
210,"Сидя, наклоняется вперед, чтобы достать нужный предмет",F,
210,"Сидя, наклоняется вперед, чтобы достать нужный предмет",MOT,
211,Трет глаза,F,
211,Трет глаза,MOT,
212,"Пьет из чашки, которую держит взрослый, не расплескивая питье",F,
212,"Пьет из чашки, которую держит взрослый, не расплескивая питье",SEL,
213,Пытается ходить по дому за мамой,F,
213,Пытается ходить по дому за мамой,SOC,
214,"Помнит, где в доме хранятся некоторые вещи",F,
214,"Помнит, где в доме хранятся некоторые вещи",COG,
215,"Сжимает куклу или игрушку, чтобы они издали звук",F,
215,"Сжимает куклу или игрушку, чтобы они издали звук",COG,
216,Хнычет или плачет,F,
216,Хнычет или плачет,LAN,
217,"Держит одновременно два предмета, по одному в каждой руке",F,
217,"Держит одновременно два предмета, по одному в каждой руке",MOT,
218,"Черкает карандашом, если показать, как это делается",F,
218,"Черкает карандашом, если показать, как это делается",COG,
219,Сидит самостоятельно и играет с игрушками,F,
219,Сидит самостоятельно и играет с игрушками,MOT,
220,Проходит несколько шагов без помощи взрослого,F,
220,Проходит несколько шагов без помощи взрослого,MOT,
221,"Переворачивается и приподнимается, чтобы сесть",F,
221,"Переворачивается и приподнимается, чтобы сесть",MOT,
222,"Отворачивает голову, когда пытаются вытереть нос",F,
222,"Отворачивает голову, когда пытаются вытереть нос",MOT,
223,Пытается поднять к своим волосам гребенку или щетку,F,
223,Пытается поднять к своим волосам гребенку или щетку,SEL,
224,Пытается привлечь внимание взрослого хныканьем или плачем,F,
224,Пытается привлечь внимание взрослого хныканием или плачем,SOC,
225,Подражает выражению лица взрослого,F,
225,Подражает выражению лица взрослого,SOC,
226,Наклоняется и ищет упавший предмет,F,
226,Наклоняется и ищет упавший предмет,COG,
227,"Использует корзинку, сумку или ящик для того, чтобы переносить вещи",F,
227,"Использует корзинку, сумку или ящик для того, чтобы переносить вещи",COG,
228,Достает и носит знакомые предметы,F,
228,Достает и носит знакомые предметы,COG,
229,Достает предмет одной рукой,F,
229,Достает предмет одной рукой,MOT,
230,"Может без помощи взрослого сесть, если лежал (а) перед этим на спине",F,
230,"Может без помощи взрослого сесть, если лежал(а) перед этим на спине",MOT,
231,Хорошо ходит самостоятельно,F,
231,Хорошо ходит самостоятельно,MOT,
232,Держит предмет величиной с куклу,F,
232,Держит предмет величиной с куклу,MOT,
233,Играет с губкой или с игрушками в ванне,F,
233,Играет с губкой или с игрушками в ванне,SEL,
234,"Ест бутерброд, разрезанный на четыре части",F,
234,"Ест бутерброд, разрезанный на четыре части",SEL,
235,Смотрит телевизор,F,
235,Смотрит телевизор,COG,
236,Пытается дотронуться до движущихся предметов,F,
236,Пытается дотронуться до движущихся предметов,COG,
237,Визжит,F,
237,Визжит,LAN,
238,Стучит игрушками по столу или по полу,F,
238,Стучит игрушками по столу или по полу,MOT,
239,"Когда сидит, может лечь на спину без посторонней помощи",F,
239,"Когда сидит, может лечь на спину без посторонней помощи",MOT,
240,"Поднимается с полу, ни за что не держась, и самостоятельно идет",F,
240,"Поднимается с полу, ни за что не держась, и самостоятельно идет",MOT,
241,Встает самостоятельно из сидячего положения,F,
241,Встает самостоятельно из сидячего положения,MOT,
242,"Когда сидит, поворачивается в сторону или назад, чтобы взять нужный предмет",F,
242,"Когда сидит, поворачивается в сторону или назад, чтобы взять нужный предмет",MOT,
243,Удерживает пищу во рту,F,
243,Удерживает пищу во рту,SEL,
244,Просовывает ноги в штаны,F,
244,Просовывает ноги в штаны,SEL,
245,Старается схватить движущийся предмет,F,
245,Старается схватить движущийся предмет,COG,
246,Разворачивает завернутую или прикрытую чем-нибудь игрушку,F,
246,Разворачивает завернутую или прикрытую чем-нибудь игрушку,COG,
247,Может ходить боком,F,
247,Может ходить боком,MOT,
248,"Поднимает ноги, когда меняют подгузник",F,
248,"Поднимает ноги, когда меняют подгузник",SEL,
249,Любит вынимать предметы из ящика (коробки) и класть их обратно,F,
249,Любит вынимать предметы из ящика (коробки) и класть их обратно,COG,
250,Поднимает чашку двумя руками,F,
250,Поднимает чашку двумя руками,SEL,
251,Пытается мыться губкой в ванне,F,
251,Пытается мыться губкой в ванне,SEL,
252,С помощью взрослого зачерпывает небольшое количество пищи ложечкой,F,
252,С помощью взрослого зачерпывает небольшое количество пищи ложечкой,SEL,
